state,year,id,party,votes
New Jersey,1976,34,republican,1509688
New Jersey,2004,34,democrat,1911430
New Jersey,1988,34,republican,1743192
New Mexico,1984,35,republican,307101
New Mexico,2012,35,democrat,415335
New Mexico,2008,35,democrat,472422
New Mexico,1976,35,republican,211419
New Mexico,2004,35,republican,376930
New Mexico,2016,35,democrat,385234
New Mexico,2000,35,democrat,286783
New Mexico,1980,35,republican,250779
New Mexico,1996,35,democrat,273495
New Mexico,1988,35,republican,270341
New Mexico,1992,35,democrat,261617
New York,1984,36,republican,3376519
New York,2012,36,democrat,4324228
New York,1988,36,democrat,3255487
New York,2016,36,democrat,4379789
New York,1976,36,democrat,3244165
New York,2000,36,democrat,3942215
New York,1996,36,democrat,3649630
New York,2004,36,democrat,4180755
New York,1992,36,democrat,3346894
New York,1980,36,democrat,2728372
New York,2008,36,democrat,4645332
North Carolina,1996,37,republican,1225938
North Carolina,1980,37,republican,915018
North Carolina,1988,37,republican,1237258
North Carolina,2016,37,republican,2362631
North Carolina,2012,37,republican,2270395
North Carolina,1976,37,democrat,927365
North Carolina,2004,37,republican,1961166
North Carolina,1992,37,republican,1134661
North Carolina,2008,37,democrat,2142651
North Carolina,2000,37,republican,1631163
North Carolina,1984,37,republican,1346481
North Dakota,1996,38,republican,125050
North Dakota,2012,38,republican,188320
North Dakota,2000,38,republican,174852
North Dakota,1992,38,republican,136244
North Dakota,1984,38,republican,200336
North Dakota,1976,38,republican,153684
North Dakota,2008,38,republican,168601
North Dakota,2016,38,republican,216794
North Dakota,1988,38,republican,166559
North Dakota,2004,38,republican,196651
North Dakota,1980,38,republican,193695
Ohio,2012,39,democrat,2827621
Ohio,1980,39,republican,2206545
Ohio,2008,39,democrat,2940044
Ohio,1988,39,republican,2416549
Ohio,1996,39,democrat,2148222
Ohio,1992,39,democrat,1984942
Ohio,2004,39,republican,2859764
Ohio,2000,39,republican,2350363
Ohio,2016,39,republican,2841005
Ohio,1976,39,democrat,2009959
Ohio,1984,39,republican,2678559
Oklahoma,2012,40,republican,891325
Oklahoma,2000,40,republican,744337
Oklahoma,1992,40,republican,592929
Oklahoma,1988,40,republican,678367
Oklahoma,2008,40,republican,960165
Oklahoma,2016,40,republican,949136
Oklahoma,1996,40,republican,582315
Oklahoma,1976,40,republican,545708
Oklahoma,1980,40,republican,695570
Oklahoma,1984,40,republican,861530
Oklahoma,2004,40,republican,959792
Oregon,2008,41,democrat,1037291
Oregon,1976,41,republican,492120
Oregon,1980,41,republican,571044
Oregon,1996,41,democrat,649641
Oregon,2016,41,democrat,1002106
Oregon,2000,41,democrat,720342
Oregon,1992,41,democrat,621314
Oregon,2004,41,democrat,943163
Oregon,1984,41,republican,685700
Oregon,2012,41,democrat,970488
Oregon,1988,41,democrat,616206
Pennsylvania,1976,42,democrat,2328677
Pennsylvania,1984,42,republican,2584323
Pennsylvania,1992,42,democrat,2239164
Pennsylvania,1988,42,republican,2300087
Pennsylvania,2000,42,democrat,2485967
Pennsylvania,2004,42,democrat,2938095
Pennsylvania,2008,42,democrat,3276363
Pennsylvania,1980,42,republican,2261872
Pennsylvania,2016,42,republican,2970733
Pennsylvania,1996,42,democrat,2215819
Pennsylvania,2012,42,democrat,2990274
Rhode Island,1980,44,democrat,198342
Rhode Island,2008,44,democrat,296571
Rhode Island,2012,44,democrat,279677
Rhode Island,1992,44,democrat,213299
Rhode Island,1988,44,democrat,225123
Rhode Island,1996,44,democrat,233050
Rhode Island,2004,44,democrat,259760
Rhode Island,2000,44,democrat,249508
Rhode Island,2016,44,democrat,252525
Rhode Island,1976,44,democrat,227636
Rhode Island,1984,44,republican,212080
South Carolina,1980,45,republican,439277
South Carolina,2012,45,republican,1071645
South Carolina,1996,45,republican,573339
South Carolina,1992,45,republican,577507
South Carolina,1984,45,republican,615539
South Carolina,1988,45,republican,606443
South Carolina,2016,45,republican,1155389
South Carolina,2008,45,republican,1034896
South Carolina,1976,45,democrat,450807
South Carolina,2004,45,republican,937974
South Carolina,2000,45,republican,786892
South Dakota,1980,46,republican,198343
South Dakota,1996,46,republican,150543
South Dakota,2000,46,republican,190700
South Dakota,2004,46,republican,232584
South Dakota,1992,46,republican,136718
South Dakota,2008,46,republican,203054
South Dakota,2012,46,republican,210610
South Dakota,1988,46,republican,165415
South Dakota,2016,46,republican,227721
South Dakota,1976,46,republican,151505
South Dakota,1984,46,republican,200267
Tennessee,1996,47,democrat,909146
Tennessee,1988,47,republican,947233
Tennessee,2012,47,republican,1462330
Tennessee,2016,47,republican,1522925
Tennessee,1984,47,republican,990212
Tennessee,1980,47,republican,787761
Tennessee,1992,47,democrat,933521
Tennessee,2008,47,republican,1479178
Tennessee,1976,47,democrat,825879
Tennessee,2004,47,republican,1384375
Tennessee,2000,47,republican,1061949
Texas,1980,48,republican,2510705
Texas,1984,48,republican,3433428
Texas,2004,48,republican,4526917
Texas,1996,48,republican,2736167
Texas,2008,48,republican,4479328
Texas,1976,48,democrat,2082319
Texas,2012,48,republican,4569843
Texas,2016,48,republican,4685047
Texas,2000,48,republican,3799639
Texas,1992,48,republican,2496071
Texas,1988,48,republican,3036829
Utah,1988,49,republican,428442
Utah,2004,49,republican,663742
Utah,2000,49,republican,515096
Utah,1980,49,republican,439687
Utah,1996,49,republican,361911
Utah,2012,49,republican,740600
Utah,2008,49,republican,596030
Utah,1984,49,republican,469105
Utah,1976,49,republican,337908
Utah,2016,49,republican,515211
Utah,1992,49,republican,322632
Vermont,2004,50,democrat,184067
Vermont,1976,50,republican,100387
Vermont,1996,50,democrat,137894
Vermont,2000,50,democrat,149022
Vermont,1984,50,republican,135865
Vermont,1988,50,republican,124331
Vermont,1992,50,democrat,133592
Vermont,1980,50,republican,94628
Vermont,2008,50,democrat,219262
Vermont,2012,50,democrat,199239
Vermont,2016,50,democrat,178573
Virginia,2012,51,democrat,1971820
Virginia,1992,51,republican,1150517
Virginia,1996,51,republican,1138350
Virginia,1980,51,republican,989609
Virginia,1976,51,republican,836554
Virginia,2000,51,republican,1437490
Virginia,2016,51,democrat,1981473
Virginia,1988,51,republican,1309162
Virginia,1984,51,republican,1337078
Virginia,2008,51,democrat,1959532
Virginia,2004,51,republican,1716959
Washington,1980,53,republican,865244
Washington,2012,53,democrat,1755396
Washington,1976,53,republican,777732
Washington,1988,53,democrat,933516
Washington,1992,53,democrat,993037
Washington,2008,53,democrat,1750848
Washington,1996,53,democrat,1123323
Washington,2016,53,democrat,1742718
Washington,2000,53,democrat,1247652
Washington,1984,53,republican,1051670
Washington,2004,53,democrat,1510201
West Virginia,2012,54,republican,417655
West Virginia,2004,54,republican,423778
West Virginia,1988,54,democrat,341016
West Virginia,2008,54,republican,397466
West Virginia,2000,54,republican,336475
West Virginia,1992,54,democrat,331001
West Virginia,1980,54,democrat,367462
West Virginia,1996,54,democrat,327812
West Virginia,2016,54,republican,489371
West Virginia,1984,54,republican,405483
West Virginia,1976,54,democrat,435864
Wisconsin,1976,55,democrat,1040232
Wisconsin,1996,55,democrat,1071971
Wisconsin,2008,55,democrat,1677211
Wisconsin,2000,55,democrat,1242987
Wisconsin,2012,55,democrat,1620985
Wisconsin,2004,55,democrat,1489504
Wisconsin,2016,55,republican,1405284
Wisconsin,1992,55,democrat,1041066
Wisconsin,1988,55,democrat,1126794
Wisconsin,1984,55,republican,1198584
Wisconsin,1980,55,republican,1088845
Wyoming,1992,56,republican,79347
Wyoming,1980,56,republican,110700
Wyoming,1996,56,republican,105388
Wyoming,2016,56,republican,174419
Wyoming,2012,56,republican,170962
Wyoming,2004,56,republican,167629
Wyoming,2000,56,republican,147947
Wyoming,1988,56,republican,106867
Wyoming,1976,56,republican,92717
Wyoming,1984,56,republican,133241
Wyoming,2008,56,republican,164958
